designation,visit,r_hel,delta_au,q_peri,ecc,incl_deg,orbital_class,dynamical_group,q_co2,q_co2_err,q_co,measured_quantity,afrho,afrho_err,w1_flux_mjy,w1_flux_err_mjy,w2_flux_mjy,w2_flux_err_mjy,t_eff_k,phase_angle_deg,n_obs,mjd_midpoint,reference,instrument,regime,methodology,notes
16P (Brooks 2),A,2.08,1.79,1.47,0.56,4.26,JFC,SPC,4.600e+25,5.600e+24,,Q_CO2^proxy (total CO+CO2),15.32,3.88,0.11,0.03,0.34,0.08,198.31,28.5,13,56963.04680,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
174P (Echeclus),A,6.05,5.92,5.82,0.46,4.34,Centaur,SPC,1.570e+26,5.500e+25,,Q_CO2^proxy (total CO+CO2),315.79,83.80,0.08,0.02,0.11,0.03,116.28,9.6,13,56787.40954,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
191P (McNaught),A,2.35,2.1,2.04,0.42,8.76,JFC,SPC,4.050e+25,6.500e+24,,Q_CO2^proxy (total CO+CO2),21.93,5.66,0.11,0.03,0.24,0.06,186.57,25.1,13,56937.99378,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
193P (LINEAR-NEAT),A,2.18,1.88,2.17,0.39,10.69,JFC,SPC,3.550e+25,5.500e+24,,Q_CO2^proxy (total CO+CO2),16.43,4.25,0.1,0.03,0.25,0.06,193.7,27.1,18,56955.91186,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
209P (LINEAR),C,2.21,1.93,0.97,0.67,21.24,JFC,SPC,1.850e+25,4.100e+24,,Q_CO2^proxy (total CO+CO2),5.54,1.83,0.03,0.01,0.11,0.03,192.38,26.6,19,56950.44983,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
246P (NEAT),A,3.82,3.64,2.88,0.28,15.97,JFC,SPC,9.640e+25,2.320e+25,,Q_CO2^proxy (total CO+CO2),196.17,46.54,0.21,0.05,0.24,0.06,146.33,15.4,14,56840.24894,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
269P (Jedicke),B,4.08,3.91,4.08,0.44,6.61,JFC,SPC,1.320e+26,2.700e+25,,Q_CO2^proxy (total CO+CO2),198.99,48.01,0.17,0.04,0.23,0.06,141.59,14.1,14,56960.21958,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
273P (Pons-Gambart),A,4.81,4.66,0.81,0.98,136.4,HTC,SPC,1.850e+26,3.400e+25,,Q_CO2^proxy (total CO+CO2),55.80,20.67,0.03,0.01,0.14,0.04,130.41,11.8,8,56643.31390,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
284P (McNaught),A,2.36,2.09,2.29,0.38,11.86,JFC,SPC,6.420e+25,7.700e+24,,Q_CO2^proxy (total CO+CO2),25.72,6.43,0.12,0.03,0.35,0.08,186.17,25.4,13,56815.63891,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
287P (Christensen),A,3.08,2.87,3.05,0.27,16.3,JFC,SPC,1.770e+26,1.800e+25,,Q_CO2^proxy (total CO+CO2),74.69,18.36,0.15,0.04,0.45,0.11,162.96,18.9,13,56945.39127,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
290P (Jager),A,2.16,1.86,2.16,0.65,19.05,JFC,SPC,7.560e+26,2.200e+25,,Q_CO2^proxy (total CO+CO2),217.12,48.31,1.39,0.31,4.94,1.09,194.6,27.5,15,56747.35763,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
292P (Li),A,2.53,2.3,2.52,0.59,24.36,JFC,SPC,7.140e+25,1.030e+25,,Q_CO2^proxy (total CO+CO2),83.44,19.29,0.32,0.07,0.45,0.1,179.81,22.8,20,56666.21033,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
293P (Spacewatch),A,2.27,1.97,2.11,0.42,9.06,JFC,SPC,1.840e+25,4.400e+24,,Q_CO2^proxy (total CO+CO2),5.82,2.03,0.03,0.01,0.11,0.03,189.83,26.3,12,56777.04665,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
296P (Garradd),A,1.92,1.6,1.83,0.48,25.2,JFC,SPC,2.810e+25,4.100e+24,,Q_CO2^proxy (total CO+CO2),8.56,2.27,0.08,0.02,0.26,0.06,206.4,31.6,18,56786.22352,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
307P(LINEAR),C,1.9,1.6,1.89,0.67,4.42,JFC,SPC,6.910e+25,5.800e+24,,Q_CO2^proxy (total CO+CO2),9.26,2.41,0.09,0.02,0.57,0.13,207.49,31.2,28,56989.44056,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
405P (Lemmon),D,1.63,1.23,1.12,0.69,9.37,JFC,SPC,2.180e+25,2.600e+24,,Q_CO2^proxy (total CO+CO2),2.18,0.68,0.04,0.01,0.29,0.07,224.01,38,27,56799.94556,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
413P (Larson),A,2.33,2.09,2.14,0.42,15.98,JFC,SPC,5.460e+25,6.900e+24,,Q_CO2^proxy (total CO+CO2),16.86,4.43,0.08,0.02,0.29,0.07,187.37,24.9,16,56676.72043,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
413P (Larson),C,2.21,1.89,2.14,0.42,15.98,JFC,SPC,1.330e+26,9.000e+24,,Q_CO2^proxy (total CO+CO2),22.76,5.60,0.14,0.03,0.77,0.17,192.38,27.3,13,56874.55153,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2011 KP36 (Spacewatch),A,6.45,6.35,4.88,0.87,18.98,JFC,SPC,4.290e+27,2.900e+26,,Q_CO2^proxy (total CO+CO2),3887.23,926.67,0.82,0.19,1.82,0.41,112.61,8.9,7,56936.71359,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2014 Q3 (Borisov),B,1.74,1.39,1.65,0.94,89.95,HTC,SPC,9.070e+26,1.800e+25,,Q_CO2^proxy (total CO+CO2),209.65,46.38,2.78,0.62,11.14,2.46,216.82,35,16,56936.21271,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a; also reported by Rosser et al. 2018 (same epoch, results agree)"
C/2014 Q3 (Borisov),C,1.65,1.32,1.65,0.94,89.95,HTC,SPC,9.870e+26,1.800e+25,,Q_CO2^proxy (total CO+CO2),212.25,46.91,3.31,0.73,14.17,3.12,222.65,36.7,17,56989.19428,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a; also reported by Rosser et al. 2018 (same epoch, results agree)"
P/2012 B1 (PANSTARRS),A,4.02,3.83,3.83,0.41,7.63,JFC,SPC,1.360e+26,3.300e+25,,Q_CO2^proxy (total CO+CO2),436.85,100.24,0.39,0.09,0.38,0.09,142.64,14.2,10,56716.04824,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
P/2014 L2 (NEOWISE),A,2.26,1.98,2.23,0.65,5.18,JFC,SPC,2.980e+27,5.000e+25,,Q_CO2^proxy (total CO+CO2),273.85,61.33,0.89,0.2,9.8,2.16,175.36,26.6,16,56816.23109,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; also reported by Bauer et al. 2015 (same epoch, results agree)"
P/2014 X1 (Elenin),A,2.25,1.96,1.82,0.71,25.97,JFC,SPC,2.710e+25,4.900e+24,,Q_CO2^proxy (total CO+CO2),7.22,2.28,0.04,0.01,0.16,0.04,190.67,26.6,17,56902.74207,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
